title,genres,overview
One Missed Call 2,"Horror, Thriller","In Japan, the daycare teacher Kyoko Okudera is convinced by her colleague and friend Madoka to visit her boyfriend Naoto Sakurai in the restaurant where he works instead of studying as planned. When the owner Mr. Wang answers his daughter's mobile phone, he receives a message telling him that he would die in an accident in the kitchen. This immediately comes true"
Madame Rosa,Drama,"Madame Rosa lives in a sixth-floor walkup in the Pigalle; she's a retired prostitute, Jewish and an Auschwitz survivor, a foster mom to children of other prostitutes. Momo is the oldest and her favorite, an Algerian lad whom she raises as a Muslim. He asks about his parents; she answers evasively. As she ages and takes fewer children, Momo must do more for her; as money is tight, he tries to earn pennies on the street with a puppet. He's a beautiful man-child, and Madame Rosa makes him promise never to sell himself or become a pimp. A film editor, Nadine, befriends him, and his father appears as well. Madame Rosa reaches her last days in fear of hospitals, and Momo must act."
The First Texan,"History, Western","After arriving in Texas to escape a scandal back east, lawyer Sam Houston just wants to hang out his shingle, keep a low profile, and stay out of any political intrigue. However, when President Jackson personally orders him to lead the fight for Texan independence, he overcomes his reluctance to become involved and leads his compatriots to a string of victories over the Mexican army."
Summer School Teachers,Comedy,"A trio of naive, but eager young Midwestern women go to California to teach summer school classes at Regency High School: Perky and willful Conklin T. starts up and coaches an all-female football team, stuffy chemistry teacher Sally Hanson manages to loosen up after she falls hard for a surly juvenile delinquent student, and pert and liberated photography instructor Denise Carter becomes involved with both a two-faced male chauvinist jerk and a more decent and understanding guy."
Dreadnaught,"Crime, Action, Thriller, Horror","A short-tempered, violent criminal named ""White Tiger"" is on the run from the police and joins a theater troupe for disguise, killing anyone who angers him or who suspects his identity. One person he unsuccessfully tries to kill several times is a cowardly laundry man named ""Mousy"" who manages to escape mostly by running and hiding. When a very close friend of Mousy's is killed by the White Tiger, Mousy overcomes his cowardliness enough to seek revenge. Spectacular martial arts and acrobatics highlight the film, including a well choreographed fight between two pairs of men in dragon costume."
The Clock,"Romance, Drama",A G.I. en route to Europe falls in love during a whirlwind two-day leave in New York City.
Prom Night,"Crime, Horror","Donna's senior prom is supposed to be the best night of her life, though a sadistic killer from her past has different plans for her and her friends."
Loki - Arnaldo Baptista,"Documentary, Music","Loki brings the trajectory of Arnaldo Baptista from childhood, passing through the most successful phase as leader of the Mutantes, marriage to singer Rita Lee and then separation. He also goes through the depression that devastated his life after the group ended and that led him to attempt suicide, his solo career, rapprochement with his brother and member of the Mutantes, Sérgio Dias, culminating in the band's return in 2006."
The Precocious and Brief Life of Sabina Rivas,Drama,"In the Mexican-Guatemalan border, young teenage lovers, Sabina and Jovany, both Hondurans, accidentally meet again after some years without seeing each other. She plans to get to the United States and dreams about being a great singer; he commits all the required atrocities to be accepted by the gang: la Mara Salvatrucha. Sabina and Jovany crashed with the most adverse conditions at the border like white slavery, the Mexican and American migratory agents Burrona and Patrick, the brothel matron Doña Lita, Don Nico the Mexican Consul in Tecún Umán, the drug trafficking networks, the army and la Mara Salvatrucha."
The Girl with the Red Hair,Unknown,During the second world war law student Hannie Schaft is a member of the Dutch resistance movement.
Zombie and the Ghost Train,"Music, Drama, Comedy","Antti ""Zombie"" Autiomaa does two things well: play the bass guitar and drink. After several months' sleeping on the streets of Istanbul, he returns to Helsinki where he's called into the army but discharged on mental health grounds after adding turpentine to the officers' soup. Zombie lives bleary-eyed in an apartment off his parents' house where his lonely, unemployed father suffers from heart disease. His girl-friend Marjo has taken up with a hairdresser but comes back to Zombie. His friend Harri hires him as a roadie for his band ""Harry and the Mulefukkers"" then gives him a chance as a bass player. He has his girl and he has a gig, but can Zombie put the bottle down?"
Night Patrol,Comedy,"The streets of Los Angeles are crawling with weirdos, hookers, peeping toms and perverts. And this time, they're wearing badges! Murray Langston, Linda Blair, Pat Paulsen, Billy Barty, Jaye P. Morgan, Andrew Dice Clay, Pat Morita, Kitten Natividad and The Unknown Comic lead a shameless all-star cast in this cult classic in the tradition of AIRPLANE and POLICE ACADEMY, filled with kooky cops, gassy midgets, tough lesbians, sick humor, gross gags, gratuitous nudity and more!"
O Amor Natural,Documentary,"O AMOR NATURAL is a documentary film about the erotic poetry of one of the greatest Latin American poets of the 20th century, the Brazilian Carlos Drummond de Andrade (1902-1987).  The erotic poems of Carlos Drummond de Andrade, a household name in Brazil, remained unpublished during his lifetime, as he feared they would be deemed pornographic. In this celebration of his poetry and sensual vision, elderly residents of Rio read his poems and comment on their graphic, voluptuous imagery with tremendous candor and enthusiasm."
Redbelt,Drama,"Is there room for principle in Los Angeles? Mike Terry teaches jujitsu and barely makes ends meet. His Brazilian wife, whose family promotes fights, wants to see Mike in the ring making money, but to him competition is degrading. A woman sideswipes Mike's car and then, after an odd sequence of events, shoots out the studio's window. Later that evening, Mike rescues an action movie star in a fistfight at a bar. In return, the actor befriends Mike, gives him a gift, offers him work on his newest film, and introduces Mike's wife to his own - the women initiate business dealings. Then, things go sour all at once, Mike's debts mount, and going into the ring may be his only option."
Sara,"Drama, Action, Crime, Romance, Family","Forty-something Leon is an alcoholic, ex-special forces barely scraping by when he's hired by a mobster to protect his 16 year old daughter. Not only does Leon have to clean up his act, but also handle the romantic advances of his ward and the keen attention of his dangerous employers."
A Late Quartet,"Music, Drama","When the beloved cellist of a world-renowned string quartet is diagnosed with a life threatening illness, the group’s future suddenly hangs in the balance as suppressed emotions, competing egos and uncontrollable passions threaten to derail years of friendship and collaboration. As they are about to play their 25th anniversary concert — quite possibly their last — only their intimate bond and the power of music can preserve their legacy."
The Wedding Waltz,"Drama, Comedy","Viltteri, a balding guy in his thirties living in rural northern Finland, is hopelessly clueless about his new role as a married man and the father of a newborn son. A perfect escape from family responsibilities is having to get his old Hillman Minx repaired and inspected for road-worthiness, with a little help from an eccentric bunch of friends who never seem to have grown up either."
Jeanne Eagels,Drama,"Director George Sidney's 1957 film about the life of celebrated stage actress Jeanne Eagels stars Kim Novak, Jeff Chandler, Agnes Moorehead, Gene Lockhart, Virginia Grey, Charles Drake, Larry Gates, Joe DeSantis, Murray Hamilton, Will Wright, Snub Pollard, Doris Lloyd and Michael Dante."
Silver Linings Playbook,"Drama, Comedy, Romance","After spending eight months in a mental institution, a former teacher moves back in with his parents and tries to reconcile with his ex-wife."
When the Lights Went Out,"Thriller, Drama, Horror","Yorkshire, 1974, the Maynard family moves into their dream house. It's a dream that quickly descends into a panic stricken nightmare as the family discovers a horrifying truth, a truth that will make the history books. The house is already occupied by the most violent poltergeist ever documented, a poltergeist that will tear you from your bed as you sleep and drag you helplessly into the darkness."
Shark Alarm at Müggel Lake,Comedy,A lifeguard at Lake Müggel has his hand bitten off and the marks indicate a shark attack. The lake is closed to the public by extending a local festival indefinitely while the city council thinks of what can be done to remove the shark. The public becomes restless having their lake closed for so long and come up with a plan to drive the shark from the lake with large quantities of beer.
Narrow Margin,"Action, Thriller, Crime, Mystery","A Los Angeles District Attorney (Gene Hackman) is attempting to take an unwilling murder witness (Anne Archer) back to the United States from Canada to testify against a top-level mob boss. Frantically attempting to escape two deadly hit men sent to silence her, they board a Vancouver-bound train only to find the killers are on board with them. For the next 20 hours, as the train hurls through the beautiful but isolated Canadian wilderness, a deadly game of cat and mouse ensues in which their ability to tell friend from foe is a matter of life and death."
"Ready, Steady, Charlie!","Comedy, Romance","In a Swiss church, Antonio Carrera is getting married to the pretty daughter of an Italian Mafioso, when army police officers march in and take him to the 15 week compulsory Swiss military training..."
Beautiful Creatures,"Fantasy, Drama, Romance","Ethan Wate just wants to get to know Lena Duchannes better, but unbeknownst to him, Lena has strange powers.  As Lena's 16th birthday approaches she might decide her fate, to be good or evil.  A choice which will impact her relationship forever."
House Hunting,"Mystery, Thriller",Two families go to an open house and can't leave
Flight of Fury,"Action, Adventure, Thriller","John, is sent in to recover a stolen Stealth Bomber. His trusty sidekick Rojar and John's ever faithful Jessica, fight the rebel forces of Banansistan, led by the vivacious Ellianna."
Love on the Dole,Drama,"Depressing and realistic family drama about the struggles of unemployment and poverty in 1930s Lancashire. The 20-year-old Kerr gives an emotionally charged performance as Hardcastle, one of the cotton workers trying to make life better. Interlaced with humour that brings a ray of sunshine to the pervasive bleakness, this remains a powerful social study of life between the wars, and was a rare problem picture to come out of Britain at the time."
Star Command,"Drama, Science Fiction, Thriller","A bunch of young and impulsive space cadets make their first real flight in space and realize that the attack they suffered wasn't a training mission. They face the Enemy alone and have the chance to save the world, and maybe to prevent the war? Can the cadets conquer the more experienced, stronger and much more evil enemy? (Written by Peter 'grin' Gervai  )"
Avalon,"Action, Science Fiction","In a future world, young people are increasingly becoming addicted to an illegal (and potentially deadly) battle simulation game called Avalon. When Ash, a star player, hears of rumors that a more advanced level of the game exists somewhere, she gives up her loner ways and joins a gang of explorers. Even if she finds the gateway to the next level, will she ever be able to come back to reality?"
The Return of the Soldier,Drama,"The returning soldier is amnesia victim Alan Bates, who remembers nothing of his life before suffering shell-shock--not even his long-term marriage to snooty Julie Christie. Spinsterish Ann-Margret, who has long harbored a fondness for Bates, hopes to take advantage of his memory loss. But both Christie and Ann-Margret are challenged by a third woman, Bates' childhood sweetheart Glenda Jackson. Poor Bates deals with all of this by not dealing with it. A fairly faithful rendition of the Rebecca West novel on which it is based, Return of the Soldier ambles along at its own languid pace to a inconclusive conclusion."
Not Easily Broken,"Drama, Romance",A car accident and shifting affections test the bond between a married couple.
Skidoo,Comedy,"Ex-gangster Tony Banks is called out of retirement by mob kingpin God to carry out a hit on fellow mobster ""Blue Chips"" Packard. When Banks demurs, God kidnaps his daughter Darlene on his luxury yacht."
The Passion of Darkly Noon,"Mystery, Drama, Thriller",Desire torments a former cultist taking refuge at the home of a scantily clad woman whose husband is away.
Our Blushing Brides,Drama,"Three department store girls--Connie, Franky, and Jerry--share an apartment on West 91st Street in New York City. Each earns little more than 20 dollars per week. Jerry is the sensible one, but the others throw themselves at amoral rich men in an attempt to hook one and better themselves. They end up being hurt and disappointed despite Jerry's attempts to warn them."
A Man for All Seasons,"Drama, History",A Man for All Seasons is the filmed version of the life of Thomas More. An English man comes to Sir Thomas More to ask if he can divorce his wife since King Henry VIII has made it illegal. Sir Thomas More stands up in opposition to the King even though he knows he’s risking his own life. An award winning film from 1966.
Slither,"Comedy, Horror, Science Fiction","A small town is taken over by an alien plague, turning residents into zombies and all forms of mutant monsters."
First Winter,Drama,"When winter begins, life is serene for a group of new-age Brooklynites living in a remote country farmhouse. Sex, drugs, yoga, and organic cooking absorb their days, safely tucked away from the stresses of urban life. But when a blackout of apocalyptic proportions strands them with no heat and no electricity during the coldest winter on record, their utopian commune is breached by anxiety and their idyllic harmony begins to lose its tune. As time wears on and the food supply dwindles, power struggles, jealousy, and desire threaten the group's ability to work together in order to survive."
Can't Buy My Love,Romance,"Lilly, a hard working EMT, is only focused on her job and getting into medical school. So when wealthy slacker Jeff enters her life it throws her off course. At first, Lilly wants nothing to do with Jeff or his sense of entitlement and lack of direction. As she spends more time with him, she starts to realize that you can’t always judge a book by its cover."
The Reflecting Skin,"Drama, Horror, Thriller","A young boy tries to cope with rural life circa 1950s and his fantasies become a way to interpret events. After his father tells him stories of vampires, he becomes convinced that the widow up the road is a vampire, and tries to find ways of discouraging his brother from seeing her."
Borderline,"Drama, Crime, Thriller","Psychiatrist Dr. Lila Colleti is divorcing her husband and is devastated when he wins custody of their two little girls, whom he gets largely because Lila's job, being a psychiatrist for the criminally insane at the local prison, is a potentially dangerous one that forces her to keep long, erratic hours. When one of Lila's patients, Ed Baikman, is released into a half-way house, he decides under the delusional influence of his psychosis to help her out by murdering her ex-husband and his girlfriend, and then threatening to tell the cops they'd planned it together when she refuses to become romantically involved with him. Though Lila's lover, police detective Macy Kobacek, stands by her loyally, Baikman does such an ingenious job of implicating Lila in the crime that even Macy begins to have his doubts about Lila's innocence"
Island of Fire,"Crime, Drama, Action, Thriller",Someone in a prison run by a corrupt warden fakes the deaths of convicts to later use them as expendable assassins. A police officer is sent into the prison to gather evidence of the corruption.
The Piper,"Horror, Fantasy","""The Guest"" follows Ryoo Seung-ryong's character, who happens to stay in a mysterious town in the countryside shortly after the 1950-53 Korean War."
Harriet the Spy,"Comedy, Drama, Family","When the secret notebook of a young girl who fancies herself a spy is found by her friends, her speculations make her very unpopular! Can she win her friends back?"
The Ultimate Warrior,"Action, Science Fiction, Thriller","Only a few people still live in New York in 2015. They are organized in gangs with their own turf. One of them is led by Baron, another one by Carrot, and they are constantly at war with each other."
I Love You to Death,"Action, Comedy, Crime","Joey Boca is the owner of a pizza parlor located in Tacoma, Washington, and has been married to Rosalie for years. Rosalie is horrified to discover that Joey is a womanizer and has been cheating on her for a long time. Based on the true story of Frances and Anthony Toto."
Captain January,Unknown,A lighthouse keeper finds a little girl who is washed ashore tied to some wreckage. He adopts her and they become inseparable. Eventually her real family finds her and tries to take her away.
We'll Take Manhattan,"Drama, Romance","We’ll Take Manhattan explores the explosive love affair between Sixties supermodel, Jean Shrimpton, and photographer, David Bailey.  Focusing on a wild and unpredictable 1962 Vogue photo shoot in New York, the drama brings to life the story of two young people falling in love, misbehaving and inadvertently defining the style of the Sixties along the way."
The Guest,"Mystery, Thriller, Action","A soldier introduces himself to the Peterson family, claiming to be a friend of their son who died in action. After the young man is welcomed into their home, a series of accidental deaths seem to be connected to his presence."
Ghatak: Lethal,Unknown,A small town in Bombay is brutally subdued by a notorious gangster named Katya and his brothers.
Passenger Side,"Comedy, Drama","Two brothers spend the day driving around Los Angeles county looking for the meaning of their lives, or cheap street drugs, depending on who you happen to believe."
Al Capone: Icon,Documentary,"Al Capone - The quintessential self-made American man, ruthless killer, or both? To this day we are fascinated with this celebrity gangster. Americans love a bad boy; a tragic anti-hero. Al Capone is one of the originals, one of the most notorious bootleggers and gangsters of the twentieth century, believed to have personally murdered dozens of people and ordered the killing of hundreds of others. But that’s only one side of this complicated man. He was also a hugely popular public figure, dynamic and charismatic; he opened one of the nation's first soup kitchens, and was a devoted patron and guardian of jazz, giving African American musicians opportunities that they would otherwise never have had. So what made him a crime boss instead of a powerful politician?"
The Devil Came on Horseback,Documentary,"While serving with the African Union, former Marine Capt. Brian Steidle documents the brutal ethnic cleansing occuring in Darfur. Determined that the Western public should know about the atrocities he is witnessing, Steidle contacts New York Times reporter Nicholas Kristof, who publishes some of Steidle's photographic evidence."
Murder at the Gallop,"Drama, Thriller, Crime, Mystery, Comedy",Miss Marple and Mr Stringer are witness to the death of the very old and rich Mr. Enderby by heart attack. Yet they have their doubts about what happened. The police don’t believe them thus leading Miss Marple to yet again investigate by herself. A cult film starring Margaret Rutherford.
Jeremy,"Drama, Family, Romance","Jeremy Jones is learning cello at an arts school in New York. At school he spots Susan Rollins, who practices for a ballet audition, and he falls in love on first sight. He's very diffident in nearing her, so he gets some help of his experienced friend Ralph. Susan's first impression isn't great, until she hears him play his cello. The movie paints a quiet image of him winning her heart and the development of their relationship."
Evel Knievel,Drama,"Legendary daredevil Robbie ""Evel"" Knievel (George Eads) is profiled in this action-packed biopic helmed by John Badham. Long before extreme sports became ubiquitous, the hard-living exhibitionist vaulted his motorcycle over steep canyons, crates of venomous snakes and snarling cougars. But as Knievel amassed wealth and world records (along with 35 broken bones), his taste for liquor and ladies equaled his appetite for adventure."
Mustang,Drama,"In a Turkish village, five orphaned sisters live under strict rule while members of their family prepare their arranged marriages."
La Luna,Drama,"While touring in Italy, a recently-widowed American opera singer has an incestuous relationship with her 15-year-old son to help him overcome his heroin addiction."
Barbie: Fairytopia,"Animation, Family","Elina is a flower fairy who discovers that her home of Magic Meadow has been overcome by a horrible malady that is killing the flowers and making the fairies unable to fly. With the help of Bibble, a puffball and a giant butterfly named Hue she attempts to find Azura, a Guardian Fairy. She's challenged along the way by the evil Laverna who wants to usurp the Enchantress, the ruler of Fairytopia."
Mark of the Vampire,"Horror, Mystery","Sir Karell Borotyn appears to have been killed by Count Mora, a vampire believed to haunt the local village. Now his daughter Irena is the count's next target. Enter Professor Zelen, an expert on vampires who's sent in to prevent her death. At the same time, secrets are revealed surrounding the circumstances of Sir Karell's death."
Приключения Домовёнка,Animation,Unknown
The Usual Suspects,"Drama, Crime, Thriller","Held in an L.A. interrogation room, Verbal Kint attempts to convince the feds that a mythic crime lord, Keyser Soze, not only exists, but was also responsible for drawing him and his four partners into a multi-million dollar heist that ended with an explosion in San Pedro harbor – leaving few survivors. Verbal lures his interrogators with an incredible story of the crime lord's almost supernatural prowess."
Deliver Us from Evil,Thriller,"In search of a new lifestyle, Johannes and his wife Pernille leave the city and move with their two children to Johannes’ childhood town in the country. When Johannes’ drunken brother Lars accidently runs over Anna, a local, and plants false evidence pointing at the emigrant Alain, Johannes stands up to defend Alain. But it comes with a price."
Thirteen Women,"Drama, Mystery","Thirteen women who were schoolmates send to a swami for their horoscopes. Little do they realize that Ursula, a half-breed Asian, is using her hypnotic powers over the swami and them to lead them or their families to their deaths. It seems that she too went to their school, but was forced to leave by their bigotry, and is exacting revenge. Will she be stopped in time to save Laura's son, Bobby?"
Ladies' Doctor,Comedy,"Dr. Lo Bianco, debt load, flees abroad and the headquarters avviatissimo study gynecological colleague Giovannaldi. These are adept at gaining the trust of high society and, thanks to the relationship established with the wife of a wealthy manufacturer (enough to get her pregnant), she becomes finance, own the cuckolded husband, a luxury clinic. And there will be a prize for Lobianco."
Skyscraper Souls,"Drama, Romance","Skyscraper Souls is a Pre-Code 1932 drama film starring Warren William and Maureen O'Sullivan. The film was directed by Edgar Selwyn and is based upon the novel Skycraper by Faith Baldwin. The film depicts the aspirations and lives of several people in the Seacoast National Bank Building. Among them is David Dwight, the womanizing bank owner who keeps his estranged wife happy by paying her bills. His secretary Sarah wants him to get a divorce so they can marry."
Momma's Man,Drama,"In Momma's Man an adult decides to escape the pressures of life and return to his old bedroom at his parents' house. An odd premise, but executed with skill and tenderness."
Jimmy's Hall,"History, Drama",In the 1930s political activist Jimmy Gralton is deported from Ireland during the 'Red Scare'.
Attack on the Pin-Up Boys,Comedy,"There have been mysterious instances in which male students from different high schools are getting ambushed and covered in foul-smelling dung. All victims have large egos and believe they are handsome! High school students from all around the nation are interested in who is going to be the next victim. All the boys who were targets these of terror attacks become national stars. They were at first annoyed by these attacks but, on the other hand they think that getting attacked can prove that they are the best looking guy, so they end up trying hard to get attacked and happily covered with foul-smelling dung. When one boy from the list gets attacked, it later comes out that there was no ambush. It was a big fat lie. So who is going to be the next victim?"
Ghoul,"Thriller, Horror","GHOUL is a supernatural horror film involving the real life story of the Soviet Union's most violent serial killer, Andrei Chikatilo. Three Americans travel to the Ukraine to film a documentary about the cannibalism epidemic that swept through the country during the famine of 1932. After being lured deep into the Ukraine forest for an interview with one of the last known survivors, they quickly find themselves trapped in a supernatural hunting ground."
The Dove,"Romance, Drama","The true story of a 16 year old (Robin Lee Graham, played by Joseph Bottoms) who aims to become the youngest person to sail around the world in a 23 foot sloop named ""The Dove"". On his journey he meets and falls in love with a young woman (Patti Ratteree, played by Deborah Raffin) who is also traveling around the world. The story follows Robin around the world to many beautiful locals, as he grows from a boy to a man, finds himself, and finds the love of his life."
Forbidden Love Game,"Comedy, Crime, Drama","The film begins with a school teacher bidding farewell to his students, who are leaving for the summer. As he is heading home he notices two of his students are hitch-hiking and picks them up. He invites them over for dinner and lodging, which they accept.. The majority of the film from this point on is set at the mansion, where the two students turn from guests to prisoners under the teacher's command. The teacher has a thuggish (yet sensitive) henchman who enforces the teacher's wishes. The teacher begins to sexually humiliate and torture the two students until he has mentally brainwashed them into his way of thinking."
Versailles,Drama,A young mother Nina and her son Enzo find themselves sleeping on the streets of Paris. Eventually there lifestyle leads them to Versailles.
Young Adult,"Comedy, Drama","A divorced writer from the Midwest returns to her hometown to reconnect with an old flame, who's now married with a family."
The Taming of the Scoundrel,Comedy,"A rich farmer is well known for being very unkind. He's misanthropic, misogynous and cantankerous. Until he meets by chance a gorgeous girl..."
GhostWatcher,"Horror, Mystery, Science Fiction","Laura Kove is an agoraphobic young woman whose world turns upside down when she discovers that the apartment she's locked herself into is haunted. Turning to the internet for help, she enlists the aid of Elizabeth Dean, a scam artist who passes herself off as a ghost hunter. At first, Elizabeth doesn't buy Laura's story but she soon becomes a true believer."
The True Cost,Documentary,Film from Andrew Morgan.  The True Cost is a documentary film exploring the impact of fashion on people and the planet.
EMR,"Thriller, Foreign","Englishman Adam regains full consciousness after a seizure - tens of thousands of miles from home - only to discover that someone has surgically extracted one of his kidneys. All roads lead to a shady drug company called Phenal, which Adam believes is plotting against him, systematically. As Adam's paranoia builds, he realizes that no one around him can be fully trusted."
The Party,Comedy,"Hrundi V. Bakshi, an accident-prone actor from India, is accidentally put the name on the guest list for an upcoming party at the home of a Hollywood film director. Unfortunately, from the moment he arrives, one thing after another goes wrong with a compounding affect."
Our Beloved Month of August,"Music, Romance","In the heart of Portugal, amid the mountains, the month of August is abuzz with people and activity..."
"Mother, Jugs & Speed",Comedy,"Mother (Bill Cosby), Jugs (Raquel Welch) &amp; Speed (Harvey Keitel) work for a ambulance company competing for a L.A. city contract."
Last Night,"Drama, Romance","The story follows a married couple, apart for a night while the husband takes a business trip with a colleague to whom he's attracted. While he's resisting temptation, his wife encounters her past love."
Jack,"Comedy, Drama, Science Fiction","Jack Powell suffers from an affliction that makes him grow four times faster than normal, so the 10-year-old looks like a 40-year-old man. After years of being tutored at home, Jack convinces his overprotective parents to send him to public school. The children don't know what to make of Jack, but with the help of his fifth-grade teacher, he makes an effort to win them over."
Unnaipol Oruvan,"Crime, Thriller",A common man tries to fight terrorism by making anonymous calls to cops. Will he succeed ?
The Perils of Pauline,Unknown,"This version of the Perils of Pauline (recognizable from the others by it's song ""Where are you my pretty Pauline...I love you my pretty Pauline) follows the story of Pauline from her being found on the doorstep of the orphanage to being a tutor to a crazy 12 year old prince in India who wants to make her the start of his harem, on to being frozen in a block of ice, traveling through the jungle where both a gorilla and a big game hunter fall in love with her, almost getting married, various other hijinks, and finally at the end in a boat with the love of her life. Throughout it all she is constantly in peril from one thing or another, crocodiles, hippos, car accidents, drowning, you name it. Even at the very end the crazed big game hunter is in a scuba suit sneaking up under the boat and drilling a hole in its hull."
RoboGeisha,"Action, Comedy, Horror, Science Fiction",Sisters Yoshie and Kikue are two Geisha who are abducted by a mysterious organization to be transformed into murderous cyborg assassins.
Grace Unplugged,"Drama, Music","A talented young singer and aspiring songwriter’s Christian faith and family ties are tested when she defies her worship-pastor father and pursues pop-music stardom in GRACE UNPLUGGED, a moving and inspiring new film that explores the true meaning of success."
"First Love, Last Rites",Drama,Joey and Sissel are two misfits spending most of their time together talking or having sex. Gradually and slowly their relationships are becoming boring for them.
Pokémon: Zoroark: Master of Illusions,"Adventure, Animation, Family","The thirteenth film overall for the long-running series and the fourth movie in the Diamond and Pearl story arc, it includes an upcoming creature from Pokémon Black &amp; White, named Zoroark, as the main character (as well as its pre-evolved form, Zorua). In the movie, Celebi travels to the past to prevent a battle between Raikou, Entei, and Suicune after seeing the future battle in a vision. Meanwhile, Ash, Brock and Dawn make it to Crown City to attend the annual Pokémon Baccer World Cup where they have an encounter with Zorua, who has lost his companion. The town is then attacked by the Legendary Pokémon Raikou, Entei, and Suicune... who are revealed to actually be Zoroark. It is then up to Celebi to appear from the future and help the trio stop the rampaging Pokémon."
The Object of My Affection,"Comedy, Drama, Romance","A pregnant New York social worker begins to develop romantic feelings for her gay best friend, and decides she'd rather raise her child with him, much to the dismay of her overbearing boyfriend."
Casa dell'amore... la polizia interviene,Thriller,Eurocrime/Poliziotteschi movie from 1978
Riley Rewind,Fantasy,A high school girl named Riley (Anna Akana) has the ability to travel back in time and uses this power to save her friend who commits suicide.
Scavengers,"Action, Science Fiction","A team of space scavengers discovers superior alien technology that threatens the balance of the known universe. Hotly pursued by a rival crew of intergalactic mercenaries, the Revelator crew must fight through the deepest reaches of space to locate and protect the life-altering device."
9/11: The Falling Man,Documentary,"An examination of an image - a falling man from the North Tower, frozen in mid air - circulated by the press immediately after the September 11 attacks, the public's reaction, and why it was later deemed un-newsworthy."
Love Is All There Is,"Comedy, Romance","This fast-paced and funny twist on Romeo And Juliet is an ""extremely funny film"" (WBAI Radio)! Oscar winner Angelina Jolie (Lara Croft: Tomb Raider) and Lainie Kazan (My Big Fat Greek Wedding) star in this tale of rival Italian catering families that serves up laughs, love and ""a touching slice of home cooking"" (Variety)!"
Beyond Sleep,Drama,"A young man's mythical quest for a stone that fell from the sky. He searches, stumbles and suffers as he traverses the sadistic universe of Northern Europe. He only finds redemption on the very edge of madness. Based on the iconic Dutch novel 'Nooit meer slapen' by Willem Frederik Hermans."
What the Health,Documentary,"What the Health is a ground breaking feature length documentary from the award-winning filmmakers of Cowspiracy, that follows the exciting journey of intrepid filmmaker, Kip Andersen, as he uncovers the impacts of highly processed industrial animal foods on our personal health and  greater community, and explores why leading health organizations continue to promote the industry despite countless medical studies and research showing deleterious effects of these products on our health."
Subspecies 4: Bloodstorm,"Horror, Fantasy","Vampire fledgling Michelle Morgan has escaped the grasp of her master Radu Vladislas. Found by a woman named Ana, she is taken to a hospital where a doctor claims to be able to cure her vampirism. Radu, recovering from the near-death delivered by Michelle and her friends, travels to Bucharest to follow his fledgling. He visits the vampire Ash's stronghold. Ash and his protege Serena plot to destroy Radu and employ the help of the humans, Ana and the Doctor."
Taurus,Drama,"The film is set inside a russian mansion and begins with morning procedures for one of 1900s most controversial politicians, Lenin."
Walker,Unknown,"A metaphor for mourning as much as it is a reminder to slow down, Tsai Ming-liang's stunningly beautiful Walker features his acteur fétiche Lee Kang-Sheng as a red-robed monk barely locomoting through the bustling streets of Hong Kong."
Her Crowning Glory,Comedy,"A widower becomes infatuated with his daughter's governess, to the displeasure of the child and her nurse."
Return to Me,"Romance, Comedy, Drama","It took a lot of cajoling to get Bob (Duchovny), a recently widowed architect, to go on a blind date at a quirky Irish-Italian eatery. Once there, he's smitten instantly not with his date but with the sharp-witted waitress, Grace (Driver). Everything seems to be going great until an unbelievable truth is revealed, one that could easily break both of their hearts for good."
Bad Luck,Comedy,"The story is an odyssey of a little man through Poland of 1930 to 1950. It shows his attempts to cope with a changing world which seems to have no place for him. He has no consciousness of any kind but is always on the verge of turning into a more coherent human being, only to be slapped down. It begins with the hero's childhood. Then comes the first love marred by his unwilling involvement in fascict politics, him being taken for a Jew because of his nose. Later he decides to join the army to charm the girl, but arrives too late for any fighting. He is arrested by entering German troops while he dresses in officer's uniform and mistakenly sent to POW camp as an officer."
The Cat o' Nine Tails,"Horror, Mystery, Thriller",A reporter and a blind retired journalist try to solve a series of murders. The crimes are connected to experiments by a pharmaceutical company in secret research. The two end up becoming targets of the killer.
For a Book of Dollars,"Comedy, Western",For a Book of Dollars
Crazy Heart,"Drama, Music, Romance","When reporter Jean Craddock interviews Bad Blake -- an alcoholic, seen-better-days country music legend -- they connect, and the hard-living crooner sees a possible saving grace in a life with Jean and her young son. But can he leave behind an existence playing in the shadow of Tommy, the upstart kid he once mentored?"
Ghosts of Darkness,Horror,"Two paranormal investigators are unexpectedly thrown together in the hope of solving a 100 year mystery. Locked for three nights in a house with a dark and unsettling past, the two investigators must put their differences to one side and work together. They soon discover the myths and stories are nothing compared to what actually resides within the eerie walls of Richwood Manor. Scepticism and showmanship are soon put to one side when the two investigators realise there is more at stake than just their professional reputation. For once they have stumbled onto the real thing, but this time it's their own lives at stake."
Tracks,Drama,"A soldier returns from Vietnam on special assignment, accompanying the body of his friend by train to California for burial. During the trip, he falls in love with a gentle college student. But their relationship is shattered by his flashbacks to combat."
Some Like It Hot,"Comedy, Romance","Two musicians witness a mob hit and struggle to find a way out of the city before they are found by the gangsters. Their only opportunity is to join an all-girl band as they leave on a tour. To make their getaway they must first disguise themselves as women, then keep their identities secret and deal with the problems this brings - such as an attractive bandmate and a very determined suitor."
